sail,, 2
stay'd, 2
for., 4
There-, 1
thee!, 2
few, 2
precepts, 1
character., 2
tongue,, 3
unproportion'd, 1
act., 2
familiar,, 1
means, 13
vulgar:, 1
Those, 2
friends, 5
hast,, 1
adoption, 1
tried,, 1
Grapple, 1
hoops, 1
steel;, 1
dull, 5
palm, 2
entertainment, 4
new-hatch'd,, 1
unfledg'd, 1
comrade., 1
Beware, 1
entrance, 1
quarrel;, 1
in,, 4
Bear't, 1
opposed, 1
beware, 1
thee., 9
every, 7
voice;, 1
man's, 5
censure,, 1
reserve, 1
judgment., 1
Costly, 1
habit, 4
purse, 2
buy,, 1
express'd, 1
fancy;, 1
rich,, 1
gaudy;, 1
apparel, 1
proclaims, 2
station, 2
Are, 10
select, 1
generous,, 2
that., 9
Neither, 1
borrower, 1
lender, 1
be;, 2
loan, 1
loses, 1
friend,, 3
borrowing, 1
dulls, 1
edge, 2
husbandry., 1
above, 2
all-, 2
self, 1
true,, 2
follow,, 2
canst, 2
false, 6
man., 6
humbly, 5
leave,, 1
invites, 1
Go,, 7
servants, 1
tend., 1
remember, 3
said, 8
lock'd,, 1
yourself, 8
key, 1
please, 9
touching, 1
Marry,, 7
bethought!, 1
Given, 1
private, 1
audience, 3
free, 7
bounteous., 1
so-, 1
put, 22
caution-, 1
understand, 7
clearly, 1
behooves, 1
between, 13
truth., 1
many, 17
tenders, 2
affection, 1
Affection?, 1
Pooh!, 1
green, 1
girl,, 1
Unsifted, 1
perilous, 1
circumstance., 1
tenders,, 1
call, 21
them?, 3
think,, 5
you!, 2
baby, 2
ta'en, 2
pay,, 1
sterling., 1
Tender, 1
dearly,, 1
(not, 2
crack, 1
phrase,, 3
Running, 1
thus), 1
you'll, 3
tender, 3
fool., 1
importun'd, 1
honourable, 2
fashion., 1
fashion, 5
Go, 15
to,, 2
to!, 2
given, 9
speech,, 5
holy, 2
vows, 2
heaven., 3
springes, 1
catch, 2
woodcocks!, 1
blood, 9
how, 29
Lends, 1
tongue, 6
vows., 1
blazes,, 1
daughter,, 2
light, 6
heat,, 2
extinct, 1
Even, 8
promise,, 1
a-making,, 1
fire., 3
scanter, 1
maiden, 2
presence., 1
Set, 2
entreatments, 1
higher, 1
rate, 1
command, 4
parley., 1
Believe, 3
him,, 27
young,, 1
larger, 1
tether, 1
few,, 1
vows;, 1
brokers,, 1
dye, 1
investments, 1
show,, 2
mere, 3
implorators, 1
unholy, 1
suits,, 1
Breathing, 1
sanctified, 1
pious, 3
bawds,, 1
beguile., 1
all:, 1
plain, 1
terms,, 2
slander, 1
moment, 2
leisure, 2
words, 13
talk, 2
to't,, 1
ways., 2
obey,, 3
IV., 4
air, 4
bites, 1
shrewdly;, 1
cold., 1
nipping, 1
eager, 2
air., 3
hour, 5
now?, 6
lacks, 1
struck., 2
Indeed?, 1
not., 13
draws, 2
near, 8
held, 2
wont, 3
walk., 1
flourish, 2
trumpets,, 1
pieces, 1
off., 5
mean,, 6
wake, 1
takes, 6
rouse,, 1
Keeps, 1
wassail,, 1
swagg'ring, 1
upspring, 1
reels,, 1
drains, 1
draughts, 1
Rhenish, 2
kettledrum, 1
bray, 1
triumph, 1
pledge., 1
custom?, 1
marry,, 6
is't;, 1
mind,, 3
manner, 1
born,, 1
custom, 6
More, 6
breach, 1
observance., 1
heavy-headed, 1
revel, 1
east, 1
west, 1
Makes, 3
traduc'd, 1
tax'd, 1
nations;, 1
They, 26
clip, 1
drunkards, 1
swinish, 1
phrase, 5
Soil, 1
addition;, 1
achievements,, 1
perform'd, 1
height,, 1
pith, 3
marrow, 1
attribute., 1
chances, 2
men, 9
vicious, 1
mole, 1
birth,-, 1
wherein, 2
guilty,, 2
Since, 8
choose, 4
origin,-, 1
o'ergrowth, 1
complexion,, 1
Oft, 1
breaking, 1
pales, 1
forts, 1
reason,, 2
o'erleavens, 1
plausive, 1
manners,, 1
Carrying,, 1
stamp, 2
defect,, 2
Being, 3
nature's, 1
livery,, 2
fortune's, 1
star,, 1
Their, 5
virtues, 2
else-, 1
pure, 2
grace,, 3
infinite, 4
undergo-, 1
general, 6
censure, 3
corruption, 1
fault., 1
dram, 1
e'il, 1
substance, 2
often, 3
dout, 1
scandal., 1
Look,, 2
comes!, 1
Angels, 1
ministers, 1
defend, 3
us!, 1
goblin, 1
damn'd,, 1
Bring, 5
airs, 1
blasts, 1
hell,, 5
intents, 1
charitable,, 1
com'st, 1
questionable, 1
shape, 3
royal, 3
burst, 3
ignorance,, 1
canoniz'd, 1
bones,, 3
hearsed, 1
death,, 9
cerements;, 1
sepulchre, 1
quietly, 1
inurn'd,, 1
op'd, 1
ponderous, 1
marble, 1
jaws, 1
mean, 4
thou,, 4
corse,, 1
complete, 1
steel,, 2
Revisits, 1
glimpses, 1
moon,, 2
Making, 1
hideous,, 1
fools, 1
horridly, 2
shake, 2
disposition, 3
beyond, 2
reaches, 1
souls?, 1
Say,, 2
wherefore?, 1
do?, 3
beckons, 2
impartment, 1
desire, 3
alone., 2
courteous, 1
action, 7
waves, 3
removed, 1
means!, 1
speak., 5
follow, 10
fear?, 1
set, 20
pin's, 1
fee;, 1
soul,, 9
immortal, 1
itself?, 1
tempt, 3
